weekend_id,airbnb_weekend_price,room_type,room_shared,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,city_centre_dist,metro_dist,lng,lat
paris249,472.55102991891135,Entire home/apt,False,2.0,10.0,100.0,1,2.0394599646456384,0.2978929488804691,2.331,48.868
paris250,364.8988722154907,Entire home/apt,False,3.0,9.0,94.0,0,0.809719131964294,0.4802405338342876,2.36084,48.86152
paris251,370.7242054245503,Entire home/apt,False,4.0,8.0,93.0,1,1.3097865172903755,0.1705164231073995,2.35468,48.86828
paris252,447.3855904557741,Private room,False,2.0,9.0,93.0,1,3.0927225514508976,0.1353456225617027,2.3287400000000003,48.87944
paris253,341.5975393792525,Entire home/apt,False,2.0,9.0,95.0,1,3.641558442100832,0.0731557528113046,2.30928,48.8724
paris254,358.8405256780688,Entire home/apt,False,2.0,9.0,92.0,1,1.372423569429529,0.1129798926386401,2.34721,48.86836
paris255,631.2331065336938,Entire home/apt,False,4.0,9.0,97.0,2,1.5411523056695515,0.1446784443018218,2.33191,48.85479
paris256,428.5115108584211,Entire home/apt,False,2.0,9.0,95.0,1,0.8175258068376818,0.0941502652530599,2.343,48.853
paris257,3081.834280920869,Entire home/apt,False,6.0,10.0,100.0,3,1.3349899639208007,0.1281410178275269,2.33795,48.86356
paris258,356.7434057228074,Entire home/apt,False,2.0,10.0,85.0,1,1.283247628425876,0.0142616121308594,2.36608,48.86404
paris259,262.8390343927673,Entire home/apt,False,2.0,10.0,90.0,0,1.092997018833398,0.0421949949151236,2.35211,48.86639
paris260,318.29620654301425,Entire home/apt,False,3.0,9.0,92.0,1,2.663876069113367,0.1794993503877141,2.33106,48.87579
paris261,474.6481498741728,Entire home/apt,False,4.0,9.0,100.0,1,1.7166446291477542,0.1321299241406673,2.33327,48.86513
paris262,602.3394538167584,Entire home/apt,False,2.0,10.0,97.0,1,0.8848368095877874,0.1988051380048705,2.34363,48.86178
paris263,301.053220244198,Entire home/apt,False,2.0,9.0,92.0,1,0.509814579022747,0.1087640197809752,2.35641,48.85267
paris264,434.56985739584303,Private room,False,2.0,6.0,80.0,1,1.2352295720036883,0.3697039714306214,2.34245,48.86536
paris265,390.5303383353528,Private room,False,2.0,10.0,96.0,1,1.2146015703118722,0.4011379483132483,2.342,48.86488
paris266,289.4025538260789,Entire home/apt,False,2.0,10.0,95.0,0,0.8337180677955653,0.2642954319185329,2.35753,48.86337
paris267,2086.4013421567715,Entire home/apt,False,6.0,10.0,100.0,2,2.2161383146857,0.3472474400834814,2.327,48.867
paris268,243.0329014819648,Entire home/apt,False,2.0,9.0,90.0,0,2.0825800222565736,0.1793848832750755,2.3315200000000003,48.86901
paris269,754.0311305806692,Entire home/apt,False,3.0,10.0,100.0,0,1.7176590502444815,0.332988410577325,2.32935,48.8572
paris270,419.4239910522882,Entire home/apt,False,4.0,10.0,93.0,1,1.2816757694624945,0.2080750702527601,2.355,48.868
paris271,720.4772112964862,Private room,False,2.0,10.0,100.0,1,2.418460771550007,0.1213063166141452,2.32588,48.86918
paris272,333.4420728865691,Entire home/apt,False,2.0,9.0,90.0,0,0.8743670652922351,0.4230426676745716,2.36138,48.861990000000006
paris273,457.4051635753565,Entire home/apt,False,4.0,10.0,96.0,1,1.1800741584793926,0.1144668954845749,2.36485,48.86356
paris274,553.6396681890204,Private room,False,2.0,10.0,100.0,1,1.817858234896352,0.0846630516489187,2.33078,48.86414
paris275,470.22089663528754,Private room,False,2.0,10.0,100.0,1,1.779818451844522,0.1625672738172147,2.33189,48.86475
paris276,472.55102991891135,Private room,False,2.0,8.0,80.0,1,0.9724759381395688,0.1263360869677519,2.34186,48.86156
paris277,266.334234318203,Entire home/apt,False,2.0,9.0,96.0,0,1.439114880892131,0.1766323282693787,2.34789,48.86911
paris278,287.3054338708174,Entire home/apt,False,2.0,10.0,95.0,1,1.4797110552950357,0.1288431011806235,2.3481,48.86952
paris279,530.5713486811446,Private room,False,2.0,9.0,94.0,1,2.1319556114783462,0.0638804096673323,2.332,48.87
paris280,329.713859632771,Entire home/apt,False,2.0,9.0,89.0,1,0.3560251291085,0.188207321266941,2.35697,48.85499
paris281,683.4280920868674,Entire home/apt,False,4.0,9.0,100.0,2,1.2714125814603785,0.0480113784411389,2.36115,48.86657
paris282,312.7038866623171,Entire home/apt,False,2.0,10.0,98.0,0,0.9015790597021068,0.2241895461258159,2.34328,48.861740000000005
paris283,521.2508155466493,Entire home/apt,False,3.0,8.0,97.0,1,1.458283829452142,0.1187326794407168,2.33615,48.86379
paris284,402.88004473855904,Private room,False,2.0,10.0,60.0,1,1.449020778319879,0.0117452070130046,2.33344,48.85381
paris285,449.2496970826732,Private room,False,3.0,9.0,90.0,1,1.4172938214818234,0.0376063898710563,2.3338400000000004,48.85394
